iter	RMSE
0	0.5168516914
1	0.5152572118
2	0.513852105
3	0.5125431139
4	0.5114691868
5	0.5103795923
6	0.5093583464
7	0.5085009821
8	0.5076047308
9	0.5067946727
10	0.5059850074
11	0.5053426958
12	0.504572195
13	0.5040504972
14	0.5034714279
15	0.5029797999
16	0.5023394949
17	0.5019043773
18	0.5014662888
19	0.5011003442
20	0.5006861658
21	0.5001571292
22	0.4998065808
23	0.4994876043
24	0.499091346
25	0.4987552718
26	0.4982988188
27	0.4978550105
28	0.497560877
29	0.4973026421
30	0.4970216297
31	0.4967812343
32	0.4965905148
33	0.4963103023
34	0.4959477698
35	0.4955501798
36	0.4952945707
37	0.49506719
38	0.4948978775
39	0.4946615122
40	0.494412494
41	0.4939835275
42	0.4937579266
43	0.4935047982
44	0.4932694695
45	0.49301534
46	0.4927882723
47	0.4926331637
48	0.4924788644
49	0.492205718
50	0.4920582848
51	0.4918194231
52	0.4915883547
53	0.4913790637
54	0.4910800748
55	0.4907822265
56	0.4906635443
57	0.4904113476
58	0.4902290427
59	0.4900266315
60	0.4898680206
61	0.4896745868
62	0.4895219617
63	0.4893495469
64	0.4892043364
65	0.4889808413
66	0.4887819398
67	0.4887009277
68	0.4885786478
69	0.4883875775
70	0.4882469666
71	0.4880448472
72	0.4879287592
73	0.4876846494
74	0.4875367984
75	0.4874206045
76	0.4872660766
77	0.4870632511
78	0.4868888642
79	0.4867590412
80	0.4865200723
81	0.4863124083
82	0.4861305458
83	0.4859464197
84	0.4858148768
85	0.4856788827
86	0.485502842
87	0.4852377668
88	0.4850310415
89	0.4848428188
90	0.4846653411
91	0.4845650573
92	0.484344154
93	0.4842114454
94	0.4840408829
95	0.4839164264
96	0.4837004684
97	0.4835014489
98	0.4832288249
99	0.4830552261
100	0.482872388
101	0.4826911465
102	0.4825461378
103	0.4823780729
104	0.4821841888
105	0.4820935976
106	0.4819424955
107	0.4817209471
108	0.4816070058
109	0.4813931615
110	0.4811722912
111	0.4810805129
112	0.4809655552
113	0.4808455887
114	0.4807264507
115	0.4805146505
116	0.4802336582
117	0.4800375832
118	0.4799172363
119	0.4796829769
120	0.4795427304
121	0.4794164071
122	0.4792441164
123	0.4791264386
124	0.4789131862
125	0.4787628933
126	0.4785161771
127	0.4784241352
128	0.4782416923
129	0.4781667457
130	0.4779241813
131	0.4778153235
132	0.4776163642
133	0.4774919212
134	0.4774167201
135	0.4772901199
136	0.4771076967
137	0.4769875329
138	0.4768687027
139	0.4766881972
140	0.476582221
141	0.4764960993
142	0.4762884
143	0.4761682559
144	0.4760821752
145	0.4759254634
146	0.4758208941
147	0.4755690066
148	0.4754742763
149	0.4753024375
150	0.4751557308
151	0.4749914832
152	0.4747277031
153	0.4746118328
154	0.4743655754
155	0.4742490395
156	0.4741340872
157	0.4739946116
158	0.4738717229
159	0.4736773191
160	0.4734891683
161	0.4733781723
162	0.4732228784
163	0.4730932833
164	0.4729247738
165	0.4727239109
166	0.4725161787
167	0.4723368075
168	0.4721307555
169	0.4719368041
170	0.4717540345
171	0.4716029776
172	0.4714606326
173	0.4712966826
174	0.4711405699
175	0.4709827678
176	0.4707833673
177	0.4706480582
178	0.4705349797
179	0.470347321
180	0.4702138822
181	0.4700739902
182	0.4698520361
183	0.4695588438
184	0.4694355443
185	0.4693274319
186	0.4691363556
187	0.4689915402
188	0.4688875837
189	0.4687447256
190	0.4685721164
191	0.4684509055
192	0.4682660224
193	0.4681590798
194	0.4679935614
195	0.467828014
196	0.4677013532
197	0.4674936658
198	0.4672748443
199	0.4670209922
200	0.4668644724
201	0.4667482563
202	0.4665562683
203	0.4663931381
204	0.4662610459
205	0.4660607662
206	0.4659369287
207	0.4657013118
208	0.4655725104
209	0.465461479
210	0.4652418037
211	0.46509998
212	0.4649302877
213	0.4647666048
214	0.464573921
215	0.464409293
216	0.4642421766
217	0.4641147103
218	0.4640017609
219	0.4638025581
220	0.4637140143
221	0.4635469948
222	0.463401637
223	0.4631838806
224	0.4630617228
225	0.4628977303
226	0.4627558775
227	0.4625270677
228	0.4623833702
229	0.4622632076
230	0.4620982525
231	0.4619452159
232	0.4617786897
233	0.4615748488
234	0.461469424
235	0.4613816715
236	0.4612787204
237	0.4611587136
238	0.4610025624
239	0.4608602282
240	0.4607249094
241	0.4605144249
242	0.4603343162
243	0.4602140464
244	0.4600880587
245	0.4599492247
246	0.459662588
247	0.459565257
248	0.4594779036
249	0.4593766064
250	0.4591797923
251	0.4590518125
252	0.4589792438
253	0.4587991974
254	0.4586305642
255	0.4585428155
256	0.4583457241
257	0.4582580845
258	0.458056106
259	0.4579546215
260	0.4578300136
261	0.4576739348
262	0.4575644302
263	0.4573738387
264	0.4572623424
265	0.4571552891
266	0.4570311238
267	0.4568388681
268	0.4566620187
269	0.4564983948
270	0.4562721176
271	0.4561951041
272	0.4560096967
273	0.4558441336
274	0.4556962174
275	0.4555766872
276	0.4554384103
277	0.4552801856
278	0.4551192308
279	0.4550272654
280	0.4548321856
281	0.4546533984
282	0.4545301106
283	0.4543448983
284	0.454145367
285	0.454044399
286	0.4538983283
287	0.453728448
288	0.4535881995
289	0.4534918475
290	0.4533494693
291	0.4531932964
292	0.4529815083
293	0.4528918647
294	0.4526806666
295	0.452522297
296	0.4524019243
297	0.4522438068
298	0.4521113996
299	0.4520129955
300	0.4519407849
301	0.4518306704
302	0.4516972939
303	0.451531018
304	0.4513890453
305	0.4511915651
306	0.451053366
307	0.4509194793
308	0.4508342946
309	0.4506813781
310	0.4504504189
311	0.4501979154
312	0.4499846827
313	0.4497540043
314	0.4496348289
315	0.4494173231
316	0.4492251549
317	0.4490789985
318	0.4489165017
319	0.4488263982
320	0.4487059037
321	0.4485823409
322	0.4483639521
323	0.4482495266
324	0.4481512182
325	0.4480362365
326	0.4478818534
327	0.4478018556
328	0.4476826555
329	0.4475573232
330	0.447429346
331	0.447323671
332	0.4471999444
333	0.4470671056
334	0.4469505431
335	0.4468703304
336	0.4467787231
337	0.4466657856
338	0.4465217415
339	0.4464040308
340	0.4462927397
341	0.446151924
342	0.4460144088
343	0.4458309408
344	0.4456970353
345	0.4455455896
346	0.4454289089
347	0.4452915133
348	0.445168577
349	0.445047407
350	0.4449549217
351	0.444814195
352	0.4446320884
353	0.4444946745
354	0.4443519896
355	0.4441954074
356	0.444098068
357	0.4440292118
358	0.4439018909
359	0.4437434938
360	0.4435578954
361	0.4433785547
362	0.4432446737
363	0.4431354912
364	0.4430088421
365	0.4429143382
366	0.4428313961
367	0.4427354501
368	0.4425849991
369	0.4424797002
370	0.4424095667
371	0.4423159387
372	0.4422364208
373	0.4420982752
374	0.4419799991
375	0.4419007901
376	0.4418299281
377	0.4416862072
378	0.4415628652
379	0.4414244303
380	0.4412362474
381	0.4411386509
382	0.4409836332
383	0.4409002587
384	0.4408219773
385	0.440749636
386	0.440649925
387	0.4405646725
388	0.4404665434
389	0.4403309286
390	0.4402303245
391	0.4401085043
392	0.4400086914
393	0.4399103636
394	0.439719765
395	0.4394804818
396	0.4394088058
397	0.4393040571
398	0.439113403
399	0.4389395519
400	0.4388033587
401	0.4386850461
402	0.4384758088
403	0.4383620176
404	0.4382694
405	0.4381624574
406	0.4380165857
407	0.4379376903
408	0.4378352952
409	0.437740826
410	0.4374906068
411	0.4373606011
412	0.4372540061
413	0.4371516857
414	0.4370931837
415	0.4369300634
416	0.4367457568
417	0.4366023303
418	0.4364442373
419	0.4363455062
420	0.436264297
421	0.4361265371
422	0.4359503348
423	0.4358415144
424	0.4357116411
425	0.4355716506
426	0.435468868
427	0.4353047787
428	0.4351758358
429	0.4350306193
430	0.434950794
431	0.4348253926
432	0.4347256588
433	0.4346010546
434	0.4345481714
435	0.4344161928
436	0.4342576521
437	0.4340528936
438	0.43391248
439	0.4338677031
440	0.4338093994
441	0.4337108066
442	0.4336251107
443	0.4335317079
444	0.4334144857
445	0.4333135967
446	0.4331949611
447	0.4329896517
448	0.4328444033
449	0.4327640372
450	0.4327034605
451	0.4325623215
452	0.4324381734
453	0.4322999393
454	0.4321425664
455	0.4319879671
456	0.4318547976
457	0.4317555281
458	0.431588703
459	0.4314526246
460	0.4312876851
461	0.4310634578
462	0.4309312904
463	0.4308452995
464	0.4307801395
465	0.4307048163
466	0.4305752908
467	0.4304757246
468	0.4303507918
469	0.4301388783
470	0.4300447334
471	0.4299057067
472	0.4298303885
473	0.4297170213
474	0.429622509
475	0.4295006411
476	0.4294182234
477	0.4292911379
478	0.4292033869
479	0.4291501253
480	0.4290384285
481	0.4289125467
482	0.4287628959
483	0.4286323848
484	0.4285167487
485	0.4284487847
486	0.42833188
487	0.4282258849
488	0.4280936774
489	0.4279847467
490	0.4278525778
491	0.4277044093
492	0.427553021
493	0.427399766
494	0.4273345925
495	0.4272854493
496	0.4271293227
497	0.42706847
498	0.4268852496
499	0.4267934935
500	0.4266764583
501	0.4265571751
502	0.426407573
503	0.4263121747
504	0.4262290803
505	0.4261566075
506	0.4260570709
507	0.4258659092
508	0.4256657776
509	0.4255003541
510	0.4253786286
511	0.4253193609
512	0.4252547034
513	0.4252086188
514	0.4250127046
515	0.4248361513
516	0.424740945
517	0.4246504881
518	0.424485386
519	0.424395512
520	0.4242967339
521	0.4241991055
522	0.4240376441
523	0.4238903374
524	0.4237974593
525	0.4237166545
526	0.4235463578
527	0.4234571103
528	0.4233771067
529	0.4232599782
530	0.4231165906
531	0.4230438206
532	0.4229166017
533	0.4227908257
534	0.4226771874
535	0.4225965131
536	0.4225003823
537	0.4224353177
538	0.422343365
539	0.4222686402
540	0.4221439945
541	0.4220349799
542	0.4219041797
543	0.421843452
544	0.421682648
545	0.4215894152
546	0.4214867945
547	0.421424238
548	0.421226938
549	0.4211190825
550	0.4209751818
551	0.4208919808
552	0.4208020199
553	0.420664898
554	0.4206050352
555	0.4204283267
556	0.4202585625
557	0.4200857786
558	0.4199465737
559	0.4198148123
560	0.4197156991
561	0.419654459
562	0.4195536404
563	0.4194566962
564	0.419287826
565	0.4191727432
566	0.4190359794
567	0.4189223898
568	0.4188084715
569	0.4186462539
570	0.4185688868
571	0.4184369616
572	0.4183500898
573	0.4182180543
574	0.4181400615
575	0.4180150749
576	0.4179055438
577	0.4178200118
578	0.4177216508
579	0.4176149778
580	0.4175282069
581	0.4174333058
582	0.4173594826
583	0.4172361918
584	0.4171154187
585	0.4169875264
586	0.4168860889
587	0.4167825825
588	0.4167033613
589	0.4166454683
590	0.4165355734
591	0.4163589882
592	0.4162710786
593	0.4161771322
594	0.4160144235
595	0.4159245195
596	0.4157926035
597	0.415687881
598	0.4155463222
599	0.4154784227
600	0.4153765892
601	0.4152720261
602	0.4151594218
603	0.4150541678
604	0.4149584804
605	0.414857035
606	0.4147534648
607	0.4146895503
608	0.414515096
609	0.4144087683
610	0.4142675373
611	0.4142236123
612	0.4141380397
613	0.4140050654
614	0.4138970176
615	0.4138079613
616	0.4136822729
617	0.4136043652
618	0.4134005859
619	0.4132941049
620	0.4131662935
621	0.4130287319
622	0.4128664586
623	0.4127127392
624	0.412632681
625	0.4125110988
626	0.4123936175
627	0.4122072028
628	0.4121353459
629	0.4119854582
630	0.4119102058
631	0.4117444062
632	0.411569328
633	0.4114556101
634	0.4113192901
635	0.4112457429
636	0.4111599305
637	0.4110196265
638	0.4109360232
639	0.4108340925
640	0.410675727
641	0.41052046
642	0.4104061941
643	0.4103009387
644	0.4102299949
645	0.4101053669
646	0.4100095382
647	0.4099149134
648	0.4098619072
649	0.4097525651
650	0.4096093845
651	0.4094387068
652	0.4093251146
653	0.4092351348
654	0.4091688536
655	0.4090775471
656	0.409003951
657	0.4088579096
658	0.4087996962
659	0.4086623604
660	0.4085898201
661	0.4084719701
662	0.4083345191
663	0.4082451818
664	0.4081449869
665	0.408002408
666	0.4078319125
667	0.4077551098
668	0.4076210921
669	0.4075068731
670	0.4074131172
671	0.4072628064
672	0.4071639447
673	0.4070391901
674	0.4068138123
675	0.40675643
676	0.4066531268
677	0.4065473093
678	0.4064430518
679	0.4063087968
680	0.4061433542
681	0.4060529651
682	0.4059167354
683	0.4058277567
684	0.4057405922
685	0.4056187308
686	0.4055087019
687	0.4054053751
688	0.4053144916
689	0.4052012564
690	0.4051131441
691	0.4050141749
692	0.4048934639
693	0.404812748
694	0.4046910804
695	0.4046145822
696	0.404469556
697	0.4044113985
698	0.4043493791
699	0.4042337685
700	0.4041461827
701	0.4040910801
702	0.4039923517
703	0.4038815054
704	0.4038008381
705	0.4037336312
706	0.4036261693
707	0.4035353776
708	0.4034117776
709	0.4033399792
710	0.4032397139
711	0.4031828262
712	0.4030593221
713	0.4029645709
714	0.4028297607
715	0.402725629
716	0.4026551286
717	0.4025877067
718	0.402485423
719	0.4024010062
720	0.4023521893
721	0.4022525437
722	0.4021816057
723	0.4021044641
724	0.4019913468
725	0.4019254369
726	0.4018492635
727	0.4017655644
728	0.4016284686
729	0.4014851611
730	0.4013681973
731	0.4012248628
732	0.401152001
733	0.401023113
734	0.4009457353
735	0.400801572
736	0.4007331223
737	0.4006695566
738	0.400477256
739	0.4003690474
740	0.400265678
741	0.4001119326
742	0.3999905774
743	0.3998870701
744	0.3998060006
745	0.3997356436
746	0.3997102569
747	0.3996236456
748	0.3995584756
749	0.3994373067
750	0.3992877177
751	0.3992139489
752	0.3990874856
753	0.3989846102
754	0.3989115559
755	0.3988387564
756	0.3987859038
757	0.3986835812
758	0.3985981524
759	0.3985535111
760	0.3984533782
761	0.3983556749
762	0.398242563
763	0.398161579
764	0.3980513241
765	0.3979013951
766	0.3978060881
767	0.3976774869
768	0.3976249731
769	0.3975258484
770	0.39748754
771	0.3973990336
772	0.3972796082
773	0.3971615871
774	0.3970100268
775	0.3969398106
776	0.3968480611
777	0.3967530274
778	0.3966642674
779	0.3965498609
780	0.3964721838
781	0.3963816382
782	0.3962694565
783	0.3961617429
784	0.396104837
785	0.3960175075
786	0.3959067205
787	0.3958445343
788	0.3956944564
789	0.3956023584
790	0.3955337801
791	0.3953896675
792	0.3952576193
793	0.3951144595
794	0.3950161465
795	0.3948814389
796	0.3947459317
797	0.3946319501
798	0.3945613457
799	0.3944655398
800	0.3943596081
801	0.3943186414
802	0.3942415544
803	0.3941519049
804	0.394033893
805	0.3939217097
806	0.3937867224
807	0.3937213224
808	0.3936009519
809	0.3934974934
810	0.3933183771
811	0.3932259769
812	0.3931693208
813	0.3930356278
814	0.3929132655
815	0.3927779808
816	0.3927302552
817	0.3926453769
818	0.3925833413
819	0.3924571686
820	0.3923600702
821	0.3922555867
822	0.3921567352
823	0.3920701957
824	0.3919567813
825	0.3918430586
826	0.3917008357
827	0.3915871549
828	0.3915084456
829	0.3914191425
830	0.3913369003
831	0.3912621345
832	0.3911760001
833	0.3910979348
834	0.390994239
835	0.3908912871
836	0.3907298007
837	0.3906415205
838	0.3905681337
839	0.3904841629
840	0.3903802323
841	0.3902827289
842	0.3901508759
