iter	Passed	Remaining
0	12	12581
1	25	12716
2	39	13188
3	52	13088
4	64	12768
5	76	12631
6	88	12601
7	100	12500
8	112	12366
9	122	12168
10	136	12291
11	148	12263
12	159	12139
13	170	12007
14	185	12188
15	200	12345
16	237	13719
17	251	13716
18	265	13700
19	277	13607
20	289	13484
21	301	13383
22	315	13382
23	327	13303
24	342	13348
25	355	13302
26	365	13187
27	377	13107
28	389	13038
29	408	13197
30	459	14377
31	494	14969
32	512	15005
33	523	14868
34	535	14777
35	547	14666
36	558	14525
37	570	14430
38	582	14364
39	622	14935
40	638	14943
41	649	14820
42	661	14732
43	673	14627
44	684	14528
45	698	14486
46	717	14545
47	730	14494
48	742	14409
49	754	14334
50	765	14253
51	821	14981
52	886	15833
53	899	15755
54	910	15652
55	922	15555
56	933	15445
57	944	15345
58	956	15263
59	970	15200
60	982	15118
61	996	15069
62	1019	15162
63	1052	15391
64	1070	15403
65	1293	18305
66	1395	19427
67	1440	19744
68	1458	19677
69	1506	20021
70	1547	20251
71	1573	20274
72	1585	20136
73	1597	19985
74	1608	19840
75	1618	19676
76	1629	19534
77	1642	19419
78	1655	19303
79	1670	19209
80	1682	19092
81	1694	18971
82	1706	18857
83	1718	18739
84	1746	18803
85	1772	18834
86	1794	18833
87	1806	18724
88	1817	18603
89	1828	18485
90	1841	18393
91	1855	18316
92	1867	18215
93	1878	18101
94	1891	18016
95	1902	17917
96	1915	17828
97	1943	17892
98	1961	17854
99	1973	17765
100	1990	17715
101	2001	17621
102	2013	17534
103	2025	17449
104	2036	17358
105	2049	17286
106	2062	17215
107	2074	17136
108	2085	17045
109	2096	16961
110	2108	16883
111	2119	16805
112	2138	16787
113	2165	16833
114	2367	18221
115	2406	18342
116	2429	18331
117	2457	18369
118	2478	18351
119	2530	18560
120	2545	18493
121	2556	18399
122	2569	18323
123	2587	18281
124	2619	18338
125	2634	18275
126	2646	18189
127	2658	18107
128	2671	18037
129	2682	17954
130	2694	17875
131	2706	17796
132	2721	17740
133	2733	17664
134	2743	17581
135	2754	17500
136	2771	17460
137	2787	17414
138	2844	17620
139	2856	17546
140	2870	17486
141	2882	17417
142	2893	17339
143	2903	17262
144	2915	17192
145	2926	17117
146	2936	17042
147	2948	16974
148	2959	16901
149	2972	16842
150	2985	16788
151	3006	16775
152	3044	16852
153	3055	16784
154	3069	16735
155	3082	16676
156	3094	16615
157	3105	16548
158	3114	16475
159	3126	16412
160	3137	16352
161	3148	16287
162	3160	16226
163	3175	16187
164	3188	16136
165	3209	16125
166	3234	16133
167	3340	16542
168	3383	16638
169	3407	16635
170	3450	16725
171	3470	16708
172	3516	16810
173	3545	16832
174	3559	16778
175	3574	16735
176	3606	16768
177	3624	16736
178	3638	16686
179	3649	16626
180	3662	16574
181	3674	16513
182	3684	16449
183	3695	16388
184	3706	16329
185	3718	16274
186	3731	16224
187	3743	16169
188	3755	16113
189	3766	16057
190	3786	16036
191	3813	16048
192	3837	16045
193	3847	15985
194	3858	15927
195	3870	15876
196	3881	15819
197	3891	15762
198	3903	15713
199	3919	15677
200	3936	15646
201	3959	15640
202	4113	16151
203	4138	16146
204	4151	16099
205	4163	16049
206	4181	16019
207	4205	16012
208	4227	15998
209	4241	15956
210	4252	15902
211	4266	15858
212	4279	15810
213	4290	15756
214	4301	15704
215	4312	15654
216	4323	15600
217	4336	15555
218	4347	15503
219	4360	15460
220	4371	15410
221	4388	15379
222	4410	15365
223	4437	15371
224	4452	15337
225	4467	15300
226	4478	15249
227	4490	15204
228	4501	15157
229	4512	15105
230	4523	15060
231	4535	15015
232	4547	14968
233	4561	14933
234	4577	14900
235	4643	15032
236	4657	14993
237	4669	14949
238	4680	14903
239	4692	14858
240	4704	14815
241	4716	14772
242	4727	14727
243	4738	14680
244	4752	14644
245	4766	14609
246	4783	14582
247	4822	14623
248	4838	14592
249	4852	14557
250	4864	14517
251	4875	14472
252	4886	14427
253	4898	14385
254	4909	14343
255	4920	14301
256	4931	14257
257	4945	14222
258	4957	14182
259	4969	14145
260	4984	14112
261	5021	14144
262	5032	14103
263	5047	14070
264	5058	14031
265	5069	13989
266	5080	13947
267	5092	13909
268	5107	13880
269	5119	13841
270	5131	13803
271	5145	13770
272	5158	13736
273	5171	13702
274	5183	13664
275	5228	13714
276	5243	13686
277	5255	13648
278	5266	13610
279	5277	13571
280	5288	13530
281	5299	13493
282	5309	13451
283	5320	13413
284	5334	13383
285	5345	13343
286	5356	13306
287	5368	13272
288	5382	13240
289	5409	13244
290	5444	13265
291	5455	13227
292	5467	13192
293	5479	13157
294	5491	13123
295	5502	13086
296	5513	13051
297	5526	13017
298	5538	12984
299	5550	12951
300	5562	12918
301	5577	12890
302	5605	12895
303	5632	12894
304	5652	12880
305	5663	12845
306	5676	12812
307	5687	12778
308	5698	12742
309	5710	12709
310	5722	12678
311	5733	12643
312	5748	12616
313	5760	12584
314	5772	12551
315	5784	12520
316	5927	12770
317	5944	12748
318	5956	12716
319	5968	12682
320	5978	12645
321	5992	12617
322	6010	12596
323	6208	12953
324	6246	12972
325	6264	12951
326	6323	13014
327	6343	12997
328	6356	12963
329	6368	12930
330	6380	12895
331	6392	12861
332	6410	12839
333	6455	12871
334	6485	12874
335	6496	12838
336	6510	12809
337	6521	12772
338	6533	12739
339	6544	12703
340	6554	12667
341	6572	12646
342	6587	12617
343	6601	12588
344	6615	12560
345	6633	12538
346	6671	12554
347	6686	12526
348	6705	12508
349	6717	12474
350	6729	12442
351	6743	12414
352	6754	12380
353	6766	12347
354	6777	12314
355	6788	12280
356	6799	12246
357	6813	12218
358	6828	12191
359	6861	12197
360	6879	12177
361	6893	12149
362	6907	12122
363	6919	12090
364	6930	12057
365	6941	12024
366	6952	11992
367	6963	11959
368	6974	11926
369	6987	11897
370	7001	11870
371	7012	11839
372	7025	11809
373	7184	12025
374	7212	12020
375	7240	12016
376	7266	12008
377	7326	12056
378	7338	12023
379	7349	11991
380	7361	11960
381	7372	11927
382	7385	11898
383	7402	11874
384	7421	11854
385	7448	11848
386	7465	11825
387	7477	11794
388	7488	11762
389	7507	11743
390	7522	11716
391	7533	11684
392	7545	11654
393	7556	11622
394	7568	11592
395	7580	11561
396	7596	11538
397	7644	11562
398	7677	11563
399	7690	11536
400	7702	11505
401	7713	11474
402	7724	11442
403	7735	11412
404	7747	11381
405	7758	11351
406	7770	11321
407	7784	11294
408	7799	11270
409	7840	11282
410	7853	11254
411	7863	11223
412	7874	11191
413	7885	11161
414	7895	11130
415	7906	11099
416	7918	11070
417	7929	11041
418	7940	11011
419	7951	10980
420	7962	10950
421	7972	10920
422	7984	10891
423	8000	10868
424	8020	10851
425	8046	10841
426	8066	10824
427	8219	10985
428	8249	10979
429	8277	10973
430	8325	10990
431	8350	10978
432	8363	10951
433	8374	10921
434	8385	10891
435	8397	10862
436	8449	10886
437	8464	10861
438	8475	10830
439	8486	10800
440	8496	10770
441	8507	10739
442	8518	10711
443	8529	10681
444	8541	10653
445	8559	10632
446	8570	10603
447	8581	10573
448	8594	10546
449	8630	10548
450	8648	10527
451	8665	10505
452	8682	10484
453	8694	10456
454	8706	10428
455	8717	10399
456	8728	10371
457	8740	10343
458	8754	10318
459	8765	10290
460	8777	10263
461	8790	10236
462	8817	10227
463	8837	10209
464	8851	10184
465	8862	10155
466	8873	10127
467	8883	10098
468	8893	10069
469	8905	10042
470	8915	10013
471	8926	9985
472	8940	9960
473	8952	9934
474	8962	9906
475	8974	9879
476	8986	9853
477	9070	9905
478	9126	9927
479	9203	9969
480	9245	9975
481	9292	9986
482	9342	10000
483	9362	9981
484	9381	9961
485	9410	9952
486	9445	9949
487	9473	9939
488	9496	9924
489	9509	9898
490	9520	9869
491	9534	9844
492	9550	9821
493	9562	9794
494	9573	9766
495	9583	9737
496	9594	9710
497	9605	9682
498	9618	9657
499	9638	9638
500	9663	9625
501	9684	9607
502	9696	9580
503	9707	9553
504	9718	9526
505	9728	9497
506	9741	9472
507	9753	9446
508	9764	9418
509	9774	9391
510	9786	9365
511	9796	9337
512	9809	9312
513	9821	9286
514	9859	9285
515	9875	9263
516	9890	9240
517	9904	9215
518	9916	9190
519	9927	9163
520	9940	9138
521	9952	9113
522	9964	9088
523	9976	9062
524	9986	9035
525	9998	9009
526	10009	8983
527	10021	8958
528	10042	8941
529	10097	8954
530	10194	9004
531	10222	8992
532	10326	9048
533	10350	9032
534	10399	9038
535	10424	9024
536	10438	9000
537	10459	8982
538	10481	8964
539	10502	8946
540	10515	8921
541	10529	8897
542	10541	8872
543	10554	8847
544	10566	8821
545	10578	8795
546	10589	8769
547	10599	8742
548	10612	8718
549	10627	8695
550	10680	8703
551	10744	8720
552	10780	8713
553	10794	8690
554	10806	8664
555	10819	8639
556	10834	8617
557	10853	8596
558	10876	8580
559	10893	8558
560	10907	8535
561	10919	8510
562	10932	8485
563	10947	8462
564	10961	8439
565	10975	8415
566	10990	8393
567	11022	8383
568	11044	8366
569	11094	8369
570	11108	8346
571	11121	8321
572	11136	8298
573	11153	8277
574	11172	8258
575	11282	8305
576	11309	8290
577	11319	8264
578	11331	8239
579	11343	8213
580	11353	8188
581	11368	8164
582	11379	8139
583	11391	8114
584	11401	8088
585	11413	8063
586	11424	8037
587	11434	8012
588	11446	7987
589	11456	7961
590	11471	7939
591	11514	7935
592	11531	7914
593	11543	7890
594	11555	7865
595	11566	7840
596	11580	7817
597	11592	7793
598	11604	7768
599	11614	7742
600	11627	7719
601	11639	7695
602	11649	7669
603	11661	7645
604	11673	7621
605	11685	7597
606	11728	7593
607	11744	7571
608	11756	7548
609	11770	7525
610	11782	7501
611	11792	7476
612	11804	7452
613	11815	7428
614	11825	7403
615	11837	7379
616	11849	7355
617	11859	7330
618	11872	7307
619	11886	7285
620	11909	7268
621	11940	7256
622	11974	7246
623	11985	7222
624	11997	7198
625	12009	7174
626	12019	7150
627	12031	7127
628	12045	7104
629	12063	7084
630	12079	7063
631	12121	7057
632	12133	7034
633	12147	7012
634	12160	6989
635	12177	6969
636	12188	6945
637	12199	6921
638	12210	6898
639	12223	6875
640	12240	6855
641	12252	6832
642	12263	6808
643	12300	6799
644	12404	6827
645	12420	6806
646	12431	6782
647	12445	6760
648	12455	6736
649	12472	6716
650	12488	6695
651	12514	6679
652	12540	6664
653	12555	6642
654	12568	6620
655	12581	6597
656	12592	6574
657	12603	6550
658	12620	6530
659	12632	6507
660	12644	6484
661	12654	6461
662	12669	6439
663	12683	6418
664	12703	6399
665	12732	6385
666	12756	6368
667	12769	6346
668	12781	6323
669	12792	6300
670	12803	6277
671	12814	6254
672	12825	6231
673	12836	6208
674	12847	6185
675	12859	6163
676	12874	6142
677	12886	6120
678	12911	6104
679	12937	6088
680	12954	6068
681	12966	6045
682	12978	6023
683	12989	6001
684	13001	5978
685	13012	5956
686	13023	5933
687	13037	5912
688	13051	5891
689	13062	5868
690	13074	5846
691	13087	5824
692	13107	5806
693	13130	5789
694	13154	5773
695	13169	5752
696	13181	5730
697	13193	5708
698	13206	5687
699	13218	5664
700	13230	5643
701	13244	5622
702	13255	5599
703	13267	5578
704	13282	5557
705	13324	5548
706	13336	5527
707	13351	5506
708	13365	5485
709	13379	5464
710	13391	5443
711	13401	5420
712	13412	5398
713	13425	5377
714	13435	5355
715	13450	5335
716	13461	5313
717	13472	5291
718	13483	5269
719	13496	5248
720	13515	5229
721	13561	5221
722	13580	5203
723	13591	5181
724	13602	5159
725	13614	5138
726	13624	5116
727	13635	5094
728	13646	5073
729	13657	5051
730	13670	5030
731	13684	5010
732	13701	4991
733	13745	4981
734	13763	4962
735	13776	4941
736	13787	4919
737	13797	4898
738	13809	4877
739	13821	4856
740	13833	4835
741	13844	4813
742	13859	4793
743	13871	4773
744	13883	4752
745	13895	4731
746	13916	4713
747	13940	4696
748	13962	4678
749	13978	4659
750	13989	4638
751	14001	4617
752	14011	4596
753	14050	4584
754	14061	4562
755	14075	4542
756	14089	4522
757	14132	4512
758	14145	4491
759	14156	4470
760	14176	4452
761	14190	4432
762	14202	4411
763	14214	4390
764	14227	4370
765	14239	4350
766	14250	4329
767	14264	4309
768	14276	4288
769	14287	4267
770	14299	4247
771	14327	4231
772	14361	4217
773	14375	4197
774	14386	4176
775	14397	4156
776	14409	4135
777	14421	4115
778	14432	4094
779	14444	4074
780	14458	4054
781	14470	4034
782	14482	4013
783	14495	3993
784	14543	3983
785	14558	3963
786	14570	3943
787	14581	3922
788	14593	3902
789	14605	3882
790	14615	3861
791	14626	3841
792	14639	3821
793	14654	3801
794	14668	3782
795	14679	3762
796	14690	3741
797	14705	3722
798	14733	3706
799	14764	3691
800	14776	3671
801	14788	3650
802	14800	3630
803	14811	3610
804	14821	3590
805	14833	3570
806	14848	3551
807	14861	3531
808	14873	3511
809	14884	3491
810	14896	3471
811	14911	3452
812	14940	3436
813	14969	3420
814	14995	3403
815	15005	3383
816	15021	3364
817	15055	3349
818	15078	3332
819	15092	3312
820	15103	3292
821	15116	3273
822	15181	3265
823	15213	3249
824	15226	3229
825	15238	3210
826	15251	3190
827	15446	3208
828	15537	3205
829	15566	3188
830	15604	3173
831	15627	3155
832	15683	3144
833	15710	3126
834	15731	3108
835	15759	3091
836	15790	3075
837	15807	3055
838	15818	3035
839	15830	3015
840	15845	2995
841	15856	2975
842	15867	2955
843	15881	2935
844	15904	2917
845	15943	2902
846	15962	2883
847	15977	2863
848	16005	2846
849	16027	2828
850	16043	2808
851	16061	2789
852	16077	2770
853	16127	2757
854	16155	2739
855	16169	2720
856	16186	2700
857	16203	2681
858	16219	2662
859	16234	2642
860	16247	2622
861	16263	2603
862	16287	2585
863	16493	2596
864	16528	2579
865	16567	2563
866	16640	2552
867	16675	2535
868	16691	2516
869	16705	2496
870	16769	2483
871	16791	2464
872	16814	2446
873	16833	2426
874	16858	2408
875	16880	2389
876	16898	2370
877	16949	2355
878	16964	2335
879	16978	2315
880	16991	2295
881	17010	2275
882	17029	2256
883	17047	2237
884	17065	2217
885	17082	2198
886	17098	2178
887	17148	2162
888	17170	2143
889	17188	2124
890	17202	2104
891	17216	2084
892	17232	2064
893	17252	2045
894	17270	2026
895	17283	2006
896	17308	1987
897	17365	1972
898	17388	1953
899	17408	1934
900	17425	1914
901	17441	1894
902	17456	1875
903	17471	1855
904	17487	1835
905	17510	1816
906	17530	1797
907	17554	1778
908	17580	1759
909	17594	1740
910	17609	1720
911	17620	1700
912	17631	1680
913	17643	1660
914	17660	1640
915	17673	1620
916	17686	1600
917	17709	1581
918	17752	1564
919	17764	1544
920	17775	1524
921	17792	1505
922	17805	1485
923	17820	1465
924	17833	1445
925	17845	1426
926	17856	1406
927	17868	1386
928	17878	1366
929	17891	1346
930	17910	1327
931	17958	1310
932	17970	1290
933	17985	1270
934	18016	1252
935	18034	1233
936	18128	1218
937	18145	1199
938	18158	1179
939	18175	1160
940	18190	1140
941	18204	1120
942	18215	1101
943	18226	1081
944	18240	1061
945	18253	1041
946	18264	1022
947	18276	1002
948	18290	982
949	18304	963
950	18322	944
951	18340	924
952	18363	905
953	18389	886
954	18410	867
955	18426	848
956	18438	828
957	18452	808
958	18465	789
959	18480	770
960	18491	750
961	18505	730
962	18516	711
963	18528	691
964	18540	672
965	18553	653
966	18585	634
967	18612	615
968	18647	596
969	18672	577
970	18685	558
971	18697	538
972	18709	519
973	18719	499
974	18735	480
975	18776	461
976	18798	442
977	18811	423
978	18823	403
979	18834	384
980	18850	365
981	18862	345
982	18877	326
983	18890	307
984	18904	287
985	18917	268
986	18930	249
987	18943	230
988	19113	212
989	19168	193
990	19192	174
991	19217	154
992	19238	135
993	19289	116
994	19316	97
995	19329	77
996	19340	58
997	19352	38
998	19365	19
999	19378	0
